발화자,발화문,인텐트
s,그럼 구십호 보세요,상품 추천
c,구십호요?,상품 추천
s,네,상품 추천
c,"아, 애들이 이런 걸 입어요?",상품 추천
s,그럼요. 애들이 너무 좋아요,상품 추천
c,아 먹혀요?,상품 추천
s,없어서 못 팔아요,상품 추천
s,아니면 이런 원피스도 반응 굉장히 좋거든요? 이 제품. 특히 와인 칼라가 굉장히 반응이 좋아요,상품 추천
c,아 가을 분위기 나고. 두 개 다 예쁘네요. 카키색도 예쁘고,상품 추천
s,이거는 소재가 겨울용으로 나와 있구요 이거는 사철용 면접용으로 나와 있어서 가격이 굉장히 싸요,상품 추천
c,네,상품 추천
c,그럼 신발까지 어울리는 걸로 주시는 건가요?,상품 추천
s,네 저희가 정장이랑 사이즈 맞게 블랙으로 해서 스탠다드 한 걸로 딱 준비해 드릴게요 신발은 이거밖에 없거든요,상품 추천
s,고객님 이거는 광택이 약간 있어도 고객님한테 잘 어울리구요 팔도 약간 길기는 해도 고객님한테 딱 맞네요 신발도 신으시구요 가방도 이렇게 매치하시고 너무 깔끔하시다 완전 잘 어울리시네요 고객님 완전 체형이 좋으셔 가지고 만약에 저렴한 걸로 하셔도 팔만 약간 내시면 핏도 좋고 되게 깔끔하고 정장에 맞춰 입으시면은 구지 품 팔지않고 돌아다니지 않으셔도 될거 같아요,상품 추천
c,네,상품 추천
c,아무래도 점퍼가 따뜻하겠죠?,상품 추천
s,착용감이 다르니까,상품 추천
s,요것도 이뻐요,상품 추천
s,그러며는 키즈사이즈 백 오십 정도로 보시면 되시고요 지금 후리스 종류 저희가 보여드릴게요,상품 추천
s,네? 저희 매장에서 제일 먼저 빠지는게 검정색인데요,상품 추천
c,진짜요?,상품 추천
s,검정색이 얼마나 좋은데요 많이 비칠꺼라고 생각하시는데 전혀 안그래요,상품 추천
s,이런 스타일은 어떠세요 가벼우면서 편하게 나왔어요,상품 추천
s,무릎 안 좋으신 분들은 요거 많이 찾으세요,상품 추천
c,아 그래요,상품 추천
s,네,상품 추천
s,어 색생은 핑크랑 베이지 색상 있어요,상품 추천
c,네,상품 추천
c,어두운 옷들만 좋아하는데 비니색 너무 튀는것 같은데 어때요,상품 추천
s,비니 컬러는 포인트만 줘도 어두운 어두운 룩에서도 분위기가 달라져요,상품 추천
s,아니면은 맨트맨 뭐 저기 레터링 들어가 있는 거나~ 아니면 앞에 뭐 이렇게 캐릭터 이런 것들도 있긴 있어요~,상품 추천
c,네,상품 추천
c,그렇게 멘트 맨 위에 이렇게 조끼 걸쳐 입어도 괜찮아요,상품 추천
s,그럼요 간단하게 입기에는 예 조끼가 활용성이 되게 좋아서 괜찮으세요,상품 추천
c,네 ~민트색상,상품 추천
s,폴라티 같은건 안입으세요,상품 추천
s,어머 그러세요 그러면 신경 안쓰시나보네 신경안쓰시겠어요 잠시만요 이거 말고 이거 큼지막하니 괜찮은 것 같은데,상품 추천
c,먼저걸로 주세요,상품 추천
s,바지는 바지같은거,상품 추천
c,바지는 많아요,상품 추천
s,아 그러세요 그럼 블랙이 최고죠,상품 추천
c,블랙 깔끔하니 예쁘네요,상품 추천
s,촌스러운 빨간색이 아니라서 은근 잘 나가더라구요,상품 추천
c,예 그러네요~~,상품 추천
s,그럼 속싸개는 2개정도 있으시면 되고요~,상품 추천
s,출산일이 겨울이니 겉싸개는 하나만 있으면 될 것 같은데요,상품 추천
c,네 저도 그게 좋을 것 같아요,상품 추천
s,요새는 남 녀 성구별없이 좋아하는 색상으로 하시더라구요,상품 추천
c,네 저도 그리 여자라고 핑크색 이런거 하고 싶지는 않아요,상품 추천
s,네 알겠습니다. 그리고 신생아는 손싸개랑 발싸개가 있어야 해요~,상품 추천
s,퓨토시크릿 제품이 좋은데 마침 30% 세일하네요 로션이랑 크림은 그것으로 하시죠?,상품 추천
s,이것도 많이 보시는데...그렇군요,상품 추천
c,요즘은 심플한 디자인은 거의 화이트 블랙 계열만 입더라구요,상품 추천
s,그럼 1+1 행사로 구매하시면 되겠네요,상품 추천
c,그러네요,상품 추천
s,여성분들이 인디핑크 이것도 너무 좋아하세요,상품 추천
c,무늬도 병아리 무늬에 칼라도 이쁘네요,상품 추천
s,그리고 이거 네이비칼라에 곰돌이 무늬도 인기 좋아요,상품 추천
c,네~귀엽네요,상품 추천
s,이거도 이쁘죠?,상품 추천
c,양들이 뛰노는 것처럼 이 무늬도 좋으네요,상품 추천
c,저는 얇은게 착용감이 더 좋을것 같네요,상품 추천
s,그럼 얇은걸로 보여드릴께요,상품 추천
c,겉옷도 두꺼운데 내의까지 두꺼우면 좀 답답할것 같아서요,상품 추천
s,그럴수도 있겠네요,상품 추천
s,겨울 니트 밝은거 있으실때는 내의도 베이지를 입으시면 좋으시다고 찾으시는 분들도 많아요,상품 추천
c,그렇겠네요,상품 추천
s,찾으시면 상품 있으세요?,상품 추천
c,네. 겨울 상품들을 좀 보려구요,상품 추천
s,어떤 종류를 찾으세요?,상품 추천
c,수면바지 좀 사려하려는데 어디에 있나요?,상품 추천
s,이쪽 행거에 다양하게 있으니 천천히 보세요,상품 추천
c,네~,상품 추천
s,옐로우나 레드 컬러 있고요 저희 옐로우 같은 경우에 시그니처 컬러라 색감 이쁘게 뽑히니까 옐로우 저희 추천해 드릴게요,상품 추천
c,혹시 제가 입을 만한 아우터 있을까요 추천 좀 해주세요,상품 추천
s,그럼 80A아니면 B정도 입으면 될꺼같아요,상품 추천
s,이제품은 저희가게 인기상품이였어요,상품 추천
c,그래요,상품 추천
c,어떤 거요?,상품 추천
