발화자,발화문,인텐트
c,영수증도 같이 주세요,구매 목록
c,알았어요 현금 영수증도 해주세요,구매 목록
s,네,구매 목록
c,영수증도 같이받으께요,구매 목록
s,영수증 여기있구요 카드 여기있습니다,구매 목록
s,네 상품이랑 영수증 받아 주시구요,구매 목록
s,어 더 궁금 하시거나 뭐 추가 하실 사항은 없으세요,구매 목록
s,아 고객님 여기 영수증 받아 주시고요,구매 목록
s,상품은 여기 있습니다,구매 목록
c,감사합니다,구매 목록
s,상품과 영수증 받아 주시고요,구매 목록
c,네,구매 목록
c,그럼 혹시 모르니까 가져갈게요,구매 목록
s,네 여기 있습니다,구매 목록
c,"맞다, 사장님 저 영수증좀 주세요",구매 목록
s,네 알겠습니다,구매 목록
c,영수증 주세요. 혹시 모르니까,구매 목록
c,사장님 영수증도 주세요,구매 목록
s,영수증 여기 있습니다,구매 목록
s,전화번호 누르시면 되고요~,구매 목록
c,네,구매 목록
c,네 영수증은 버려주시겠어요?,구매 목록
s,네,구매 목록
s,영수증 받으세요,구매 목록
c,네,구매 목록
s,여기 영수증 받으시구요,구매 목록
c,네~,구매 목록
s,여기 현금영수증.해주시죠,구매 목록
s,카드랑 영수증 받으시고요,구매 목록
c,네,구매 목록
s,여기 영수증이랑 카드 받으시고,구매 목록
c,네,구매 목록
c,영수증 나눠서 좀 해 주시겠어요?,구매 목록
s,그렇게 해 드려야지,구매 목록
s,그럼 잠깐만요 이거까지만 계산하고 일단 영수증 받으시고,구매 목록
c,네 아 맞네요,구매 목록
s,영수증 여기 있습니다,구매 목록
c,감사합니다,구매 목록
c,현금으로 결제할건데 영수증 꼭 주세요.,구매 목록
s,"네, 알겠습니다.",구매 목록
c,사업자로 구매하는 건데 현금영수증 처리 가능한가요?,구매 목록
s,문의 주신 내용은 저희 쪽에서는 처리가 어려우며 해당 제조사고객센터로 문의 부탁드립니다.,구매 목록
c,현금영수증 발행해 주실 수 있나요?,구매 목록
s,자세한 건 해당 제조사고객센터로 문의 바랍니다.,구매 목록
c,구매영수증을 받아볼 수 있을까요?,구매 목록
s,문의주신 해당 건 구매하신 해당 구매처 구매 내역에서 영수증 출력이 가능합니다.,구매 목록
c,계좌번호랑 빠른 처리 바란다고 근데 님들이 오후에 일괄 처리 하니 오후까지만 잠시 만 기다려달라 매그래서 난 기다렸지 근데 여태 기다렸지 근데 왜 여적내 돈은 안 들어왔을까?,구매 목록
s,네 업무량이 많아서 환불 처리가 지연되신 것 같아요 정말 죄송해요 담당자 분께 다시 한번 빠른 처리 부탁드렸어요.,구매 목록
s,어 이십프로 하다가 지금 프로모션 들어가 있어서 추가 세일 하거든요,구매 목록
c,네,구매 목록
s,왜 또 어르신들 하시는 거라 최대한 좀 좀 저렴하게 그리고 저희 단체 할인 있어요,구매 목록
s,아 뭐 삼백만원,구매 목록
s,삼백만원 정도 넘어가면 십프로 정도 할인,구매 목록
c,그런 제도가 있구나,구매 목록
s,아 예 회사에 얘기하니깐,구매 목록
s,삼십만 원도 세이브가 되면,구매 목록
s,또 식사비 정도는 나오지 않을까,구매 목록
c,저도 혹시 할인 또 하면 연락 주실 수 있으세요,구매 목록
s,전화 저기 수첩에다,구매 목록
c,예 여기 수첩에다가,구매 목록
s,네,구매 목록
c,여기로 전화 주시면 되구요,구매 목록
s,네,구매 목록
c,아니면 어디는 문자 넣어주시더라구요,구매 목록
s,문자로 넣어드려요 문자로,구매 목록
c,문자 부탁드릴께요,구매 목록
s,네네네,구매 목록
c,2개 모두 할건데 좀더 DC해주세요,구매 목록
s,가격 할인은 곤란하고 사은품 챙겨 드릴께요,구매 목록
c,조금 할인이 안되나요?,구매 목록
c,같이 하면 조금 더 DC 되나요,구매 목록
s,모자하고 옷 하고 같이 하면은 제가 디스를 해 드릴게요,구매 목록
c,20만 원에 맞춰 주실 수 있어요,구매 목록
s,20만원은 안되구요,구매 목록
c,잘 좀 할인해 주세요 지금까지도 좀 할인 안 돼요,구매 목록
s,디씨가 다 돼 있는 상태라 더 할인은 안 돼요,구매 목록
c,단골 할게요 조금만 더 해주세요,구매 목록
s,네 다음에 또 와주세요 십팔만사천육백원씩 삼개월씩이나 납부하시면 될 것이고요 삼성카드 제가 결제 해드릴까요,구매 목록
c,아사장님 조금만 깎아 주세요,구매 목록
s,안되는데 이만 이천원 주세요,구매 목록
c,사용해 주시면 안돼요,구매 목록
s,요고는 아예 그 피디에이상에서 만점부터 가능하셔가지고 저희 쪽에서 지금 쿠폰 적용은 안되세요,구매 목록
c,아 아깝네 돈이 없는데,구매 목록
s,그러면 고객님 저희 오프로 쿠폰이라고 아무래도 적용 하셔가지고 결제 하시면 어떠실까요,구매 목록
c,쿠폰 해줘요,구매 목록
s,이거 연락처랑 성함 알려주시면 등록 해드리고 쿠폰 적용해 드릴게요,구매 목록
c,조금만 디씨 주세요,구매 목록
s,저희 디씨는 따로 안 돼요,구매 목록
s,제가 이거 두 개 하시니까 사은을 하나 드릴게요,구매 목록
c,현금은 그러면 좀 디씨해 주세요,구매 목록
s,현금 그냥 조금. 그냥 조금 해드려요,구매 목록
s,많이는 못해도,구매 목록
c,아 그래요 조금 하복은 두 개니까 45만 원 해 주시고 겨울 건 50만 원이 안돼요?,구매 목록
s,그러면 두개 합에서 100인데,구매 목록
c,항상 제가 두 개 하잖아요,구매 목록
s,그렇구나,구매 목록
c,90만원이랑 50만원이랑,구매 목록
s,그럼 140인데,구매 목록
c,좀 빼줘요,구매 목록
s,"220,000원까지 해줄께",구매 목록
c,와 되게 세다. 그거 좀 깎아주실 순 없으세요?,구매 목록
s,이건 정찰가라서 할인이 안 돼요,구매 목록
c,60프로요 안 들려요,구매 목록
c,하면 더 좋은데,구매 목록
s,그렇지 우리도 많이 해 주고 싶은데 회사 정책이 그러니까 뭐,구매 목록
c,삼만 삼천 원에 해 주시면 안 돼요?,구매 목록
s,이게 세일 가격이라 안 돼요. 혹시 오만 원 이상 하시면은,구매 목록
c,네 그럼 그냥 주세요,구매 목록
c,아니 난 그냥 칠 프로,구매 목록
s,칠 프로 받는 게 더 나아요?,구매 목록
c,비싸네요 조금 깎아 주시겠습니까?,구매 목록
s,그래요,구매 목록
s,한 번 보여주시겠어요?,구매 목록
c,네 여기요,구매 목록
c,아 그럼 맨투맨 말고 다른 스타일 제품중에 할인되는것좀 알려주세요,구매 목록
s,네. 교환증 넣어드릴께요,구매 목록
c,네. 알겠습니다,구매 목록
s,영수증 여기 있습니다,구매 목록
c,네,구매 목록
s,여기있습니다,구매 목록
s,영수증 여기있습니다,구매 목록
c,네,구매 목록
s,여기 영수증이랑 카드 받으시고,구매 목록
c,네,구매 목록
c,휴대전화 번호로 말해 드릴게요?,구매 목록
s,네,구매 목록
c,아 상품권이라 해주시나요?,구매 목록
s,네. 상품권이라 해드려요,구매 목록
s,버려드리겠습니다,구매 목록
c,네,구매 목록
s,버려드리겠습니다,구매 목록
c,옷이랑 영수증 같이 담아드렸습니다,구매 목록
s,감사합니다,구매 목록
c,영수증 여기 있습니다,구매 목록
s,감사합니다,구매 목록
c,그럼 전 전자 영수증으로 하나만 해줄꺼죠?,구매 목록
s,네,구매 목록
c,그런데 결제 전에 저 니트도 그냥 여기서 같이 살까하는데,구매 목록
s,그러시면 니트 먼저 보시고 결제 도와드릴게요,구매 목록
c,그래도 귀여우니까 그냥 하나주세요,구매 목록
s,네 알겠습니다,구매 목록
c,그럼 이것도 같이 결제해주실래요?,구매 목록
s,네,구매 목록
c,샘플로 1개 구매했는데 맘에 들어서 추가 11개 구매하려니수량이 부족하다고 나오네요. 구해주실수 있지요?,구매 목록
s,제품 만족해주시고 애용해주셔서 넘감사드립니다 해당 상품수량수정요청하였으며 조금 시간 소요되오니 번거로 우시겠지만 오후 정도 확인 부탁드려요.,구매 목록
c,"100을 브라는 75C 컵, 팬티는 구입하고 싶은데 별도 구매가 안 되나요?",구매 목록
s,팬티는 별도 구매 어려우 신점 다시 한 번 안내해드립니다.,구매 목록
c,팬티한 장씩 더 구매하고 싶은데 가능한가요?,구매 목록
s,팬티 별 도 구매는 어려우 신점 다시 한번 안내해드립니다.,구매 목록
c,이미 반품 완료까지 된 상태라 구매 결정을 하고 싶어도 방법이 없는데 생각해보니 제가 다시 같은 물품을 재구매한 뒤 판매자님께서 물건을 발송하지 마시고 송장만 띄어놓으신 다음 제가 바로 구매 결정을 해버리는 방법으로 진행하시는 게 어떠신지요?,구매 목록
s,택배 사서 확인이 안 되분실건으로 처리하신 다기에 반품 처리하였는데 배송사내에서 전달이 안 되었는지 배송이 된 것 같습니다.,구매 목록
c,취소했는데 다시 재결제 같은 상품으로 되나요?,구매 목록
s,재고가 있는 상품이면 다시 주문해 주세요. 예쁘고 러블리한 신상도 많이 올라오고 있으니 자주 들러주세요.,구매 목록
c,그런데 사장님이 아까 주신 건 이만큼 이였는데요?,구매 목록
s,아 너무 죄송합니다,구매 목록
s,그러면 가디건 두개랑 니트조끼 두개 하셔서 총 금액 17만6천원 결재 도와드릴께요,구매 목록
c,네 알겠습니다,구매 목록
c,#이름#씨 통장으로 5천원 입금했는데 아직 확인 안 된 건가요?,구매 목록
s,출고 준비 중입니다.,구매 목록
c,결제 내역 보니 12190원 결제됐는데 그거에 맞는 거 고르면 되는 건가요?,구매 목록
s,실구매 가격은 개인정보보호로 판매자 측에서는 확인이 불가하시구요 쿠폰 미적용가인 15900원 금액으로 봐주시면 되실 것 같습니다.,구매 목록
c,이거 선물했다가 맘에 안 든다면 취소 해도 돼요?,구매 목록
s,교환하시거나 다른 데 가서 바꾸셔도 돼요,구매 목록
c,아 그래요?,구매 목록
s,전국에 매장이 많으니까 신발로 바꾸셔도 되고,구매 목록
c,그럼 취소 원할 때는요?,구매 목록
s,승인 취소 원하시면 카드사에 연락주시면 확인하고 즉시 취소처리해드리고 있어요,구매 목록
c,아 그럼 했을 때는 취소되는 건가요?,구매 목록
s,네 사전 경고 없이 모든 예약이 취소되세요,구매 목록
c,아 항공권을 취소하려면은 이제 어떻게 해요?,구매 목록
s,이제 해외 항공,구매 목록
