,SPEAKER,SENTENCE,MAIN
0,고객,집으로 배송도 가능한가요?,배송 문의
1,점원,"네, 가능합니다.",배송 문의
2,고객,배송은 몇일 더 걸리나요?,배송 문의
3,점원,3일 정도 더 소요 예상됩니다.,배송 문의
4,고객,택배로도 가능한가요?,배송 문의
5,점원,네 고객님 주소알려주시면 택배로도 가능합니다,배송 문의
6,고객,네 그럼 택배로 부탁드려요,배송 문의
7,점원,네 여기 주소 기재해주세요,배송 문의
8,점원,네 택배로 받아보시겠어요?,배송 문의
9,고객,택배는 얼마나 걸리죠?,배송 문의
10,점원,이틀 정도 걸립니다,배송 문의
11,고객,그럼 택배로 보내주세요,배송 문의
12,고객,제가 주문한 신발을 집으로 배송해주실 수 있나요?,배송 문의
13,고객,택배로 받아볼 수 있을까요?,배송 문의
14,고객,얼마 정도 기다리면 받아볼 수 있나요?,배송 문의
15,고객,택배는 며칠 정도 걸려요?,배송 문의
16,고객,배송되는 데 얼마나 걸릴까요?,배송 문의
17,고객,밴딩에다가 끈도 조금 있으면은 좋더라고요 그런 건 없나요?,상품 추천
18,점원,이런 거 말씀하시는 건가요?,상품 추천
19,고객,네,상품 추천
20,고객,회색은 무슨 색이랑 잘 어울려요?,상품 추천
21,점원,회색은 거의 다 잘 어울려요,상품 추천
22,고객,원피스는 어떤 게 예뻐요?,상품 추천
23,점원,원피스는 이런 시폰 예뻐요,상품 추천
24,고객,이 검은 조끼를 입으려면 안에 뭐를 입으면 좋을까요?,상품 추천
25,점원,엉덩이 하고 배만 가릴 수 있는 기장의 셔츠가 나을 거 같아요,상품 추천
26,고객,티보다는 칼라 있는 게 어울릴까요?,상품 추천
27,점원,칼라 있는 것도 이뻐요,상품 추천
28,점원,색상으로 봤을 때는 이 색상이 제일 어울려 보이는데요?,상품 추천
29,고객,네 저도 그 색이 제일 좋은 거 같아요,상품 추천
30,고객,제가 입을만한 옷 있을까요?,상품 추천
31,점원,네 이런 남방류 잘 입어지실거예요,상품 추천
32,고객,이거랑 같이 신을 신발은 뭐 있어요?,상품 추천
33,점원,이런 신발 신으시면 좋겠습니다,상품 추천
34,점원,신발 35사이즈 신으세요?,상품 추천
35,고객,네,상품 추천
36,고객,이런 종류 좋아하는데 어떤 게 잘 나가요?,상품 추천
37,점원,이런 거는 봄에 검은색 바지와 같이 많이 입어요,상품 추천
38,점원,이런 꽃무늬는 어떠세요?,상품 추천
39,고객,티 중에 저한테 어울릴 거 추천 좀 해주세요,상품 추천
40,고객,이 티셔츠는 어떤 바지랑 어울려요?,상품 추천
41,점원,청바지 반바지 긴바지 흰 바지 다 잘 어울립니다,상품 추천
42,고객,이거는 뭐랑 입으면 잘 어울려요?,상품 추천
43,점원,청바지와 제일 많이 입고 흰색 바지에도 어울립니다,상품 추천
44,고객,이거랑 비슷한 디자인 있어요?,상품 추천
45,점원,흰색 있어요,상품 추천
46,고객,이거는 어떤 거랑 어울려요?,상품 추천
47,점원,면바지랑 잘 어울려요,상품 추천
48,고객,연세 드신 분 입으시는 내의 있나요?,상품 추천
49,점원,있어요,상품 추천
50,고객,따뜻한 여성용 내의도 하나요?,상품 추천
51,점원,여자 105 사이즈는 없어요,상품 추천
52,고객,나이 든 사람이 입어도 돼요?,상품 추천
53,점원,고객님보다 나이 훨씬 많으신 분도 많으신데요,상품 추천
54,고객,카디건이랑 입는 게 낫다 그죠?,상품 추천
55,점원,네 카디건 입으셔도 되고 이렇게 니트와 레이어드하셔도 돼요,상품 추천
56,고객,이 안에 바지도 입을 수 있죠?,상품 추천
57,점원,네 청바지 입어도 돼요,상품 추천
58,고객,이게 나이 대가 어떻게 입어요?,상품 추천
59,점원,20대부터 40대까지 다양하게 입어요,상품 추천
60,고객,50대는 입기 좀 그렇겠죠?,상품 추천
61,점원,요즘 젊게 입으시는 분들이 많으니까 괜찮아요,상품 추천
62,고객,이거 20살 여학생 입을 수 있어요?,상품 추천
63,점원,네 가능합니다,상품 추천
64,고객,이거 밑에는 청바지 같은 거 입어도 되고 롱치마 입어도 되겠죠?,상품 추천
65,점원,네 요즘 많이 입는 긴 주름치마과 같이 입으면 돼요,상품 추천
66,고객,안에 청바지도 입어도 되고요?,상품 추천
67,점원,네 청바지 스키니 바지 그런 거 입으시면 따뜻해요,상품 추천
68,고객,목폴라도 같이 입어요?,상품 추천
69,점원,히트텍이나 목폴라 같은 거 입고 입으셔도 돼요,상품 추천
70,고객,밖에 있는 아이보리 저거는 어떻게 입는 건가요?,상품 추천
71,점원,조끼처럼 옷 위에 겹쳐 입으시면 돼요,상품 추천
72,고객,밑에는 레깅스나,상품 추천
73,점원,이 레깅스나 지금 그 바지 입으면 돼요,상품 추천
74,고객,수면 잠옷 같은 건 없나요?,상품 추천
75,점원,네 있어요,상품 추천
76,고객,밑에 레깅스 입고 이거 입고?,상품 추천
77,점원,아니요 레깅스가 내장되어 있는 거예요,상품 추천
78,고객,위에 마이 하나 걸치고 입으면 예쁘겠죠?,상품 추천
79,점원,자켓 하나 걸치고 입으면 이쁘겠네요,상품 추천
80,고객,이런 조끼 말고 안에는 뭐 입어야 되겠어요?,상품 추천
81,점원,일반 티 입으셔도 돼요,상품 추천
82,고객,이거 치마 이거 입고 신발은 뭐 신어야 되나?,상품 추천
83,점원,운동화 부츠 슬립온도 되고 다 괜찮아요,상품 추천
84,고객,연세 드신 분 입으시는 내의 있나요?,상품 추천
85,점원,네 있어요,상품 추천
86,점원,이게 좀 따뜻하고 좋은데 사이즈가 100까지 밖에 없어요,상품 추천
87,고객,실내복 좀 따뜻한 걸로 다른 거는 없어요? ,상품 추천
88,점원,105는 없습니다,상품 추천
89,고객,젊은 사람이 입는 거죠?,상품 추천
90,점원,젊은 사람도 입고 다 입어요,상품 추천
91,고객,저거 학생들 입기에 디자인이 괜찮은가요?,상품 추천
92,점원,네 괜찮죠,상품 추천
93,고객,이거는 너무 나이들어 보이겠죠? 추천 좀 해 주세요,상품 추천
94,점원,코트 얇은 거 찾으세요?,상품 추천
95,고객,네,상품 추천
96,점원,이런 코트도 잘나가요,상품 추천
97,고객,이거는 운동복이에요?,상품 추천
98,점원,그냥 평상시에 입어도 돼요,상품 추천
99,고객,남방 종류는 다른 거는 없나요?,상품 추천
100,점원,가격대가 다양하게 있습니다,상품 추천
101,고객,밑에 청바지 같은 거 입고 입으면 되겠죠?,상품 추천
102,점원,네 청바지 입고 계시니 봐드릴게요,상품 추천
103,고객,롱스커트하고 입어도 괜찮죠?,상품 추천
104,점원,스커트 어떤 건데요 체크?,상품 추천
105,고객,약간 이런 색깔인데,상품 추천
106,점원,네 괜찮아요 푸른 톤으로 많이 입어요,상품 추천
107,고객,이거 한 사십대 오십대가 입어도 되나요?,상품 추천
108,점원,입어도 돼죠,상품 추천
109,고객,청바지랑 같이 입어도 되겠다 그죠?,상품 추천
110,점원,세미정장 느낌으로 입으셔도 되고 평상시에는 청바지에 입으시면 되구요,상품 추천
111,고객,할아버지들 입는 잠바 보려고 하는데요,상품 추천
112,점원,봄 잠바는 얇아서 속을 떼어냈다가 붙일 수 있는 게 잘 나가요,상품 추천
113,고객,엄마들 입는 잠바 보려는데요,상품 추천
114,점원,엄마 연세가 어떻게 돼요?,상품 추천
115,고객,연세는 팔십 다 돼가고 사이즈는 작아요,상품 추천
116,점원,엄마들 잠바는 이런 게 잘 나갑니다,상품 추천
117,고객,너무 달라붙는거 말고 없어요?,상품 추천
118,점원,네 고객님이 입으시면 좀 달라붙는데 완전히 헐렁한 거 찾으세요?,상품 추천
119,고객,헐렁한 거는 아니더라도 덜 달라붙는 거,상품 추천
120,고객,티셔츠에 프릴 달린 거는 뭐랑 입으면 돼요?,상품 추천
121,점원,"위는 카디건이나 재킷과 입고, 아래는 바지와 입으면 됩니다",상품 추천
122,고객,후드 말고는 없나요?,상품 추천
123,점원,이 제품도 있는데 어떠세요?,상품 추천
124,고객,컬러가 조금 밝은 거 같네요,상품 추천
125,고객,골프웨어 좀 길게 나온 게 있나요?,상품 추천
126,점원,길게 나오지는 않고 이런 게 좀 긴 편이에요,상품 추천
127,고객,제가 신은 이런 양말은 없나요?,상품 추천
128,점원,옆에 있는 거요,상품 추천
129,고객,수면양말 긴 거는 없어요?,상품 추천
130,점원,네 요새는 목이 좀 짧게 나오는 편이라 토시 끼셔야 돼요,상품 추천
131,고객,실내화 남자 거 저게 제일 큰 거예요?,상품 추천
132,점원,네 이게 제일 큰 거예요,상품 추천
133,고객,엄마들 거는 어디 있어요?,상품 추천
134,점원,여기요,상품 추천
135,고객,사이즈 삼십팔이 입을만한 옷은 뭐가 있어요?,상품 추천
136,점원,마땅한 게 없네요,상품 추천
137,고객,따뜻하게 신을 수 있는 양말 없을까요?,상품 추천
138,점원,이런 것도 괜찮아요 스타킹 양말인데 안에 양모로 되어있어서 진짜 따뜻해요,상품 추천
139,고객,이거 너무 젊은 애들 하는 거 같은데?,상품 추천
140,점원,이건 어떠신가요?,상품 추천
141,고객,다른 거는 마땅한 게 없죠?,상품 추천
142,점원,이런 식으로 다는 옷핀은 어떠신가요?,상품 추천
143,고객,함 봐요,상품 추천
144,점원,돼지나 부엉이를 가방이나 끈에 다는 건 어떠신가요?,상품 추천
145,점원,머리 묶는 거 찾으세요?,상품 추천
146,고객,네,상품 추천
